amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
408-0285515-3213979	408-0285515-3213979	2023-08-23T11:57:07+00:00	2023-08-23T18:57:36+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 pièces, Mix - 60 x 45 mm | Cales, entretoises, écarteurs, plaques en plastique, plaqu	ZJ-O015-RGNY	B07P589646	Shipped	1	EUR	45.99	7.67							St Jean Les Deux Jumeaux		77660	FR		false			false	
405-2213696-3741952	405-2213696-3741952	2023-08-22T21:44:03+00:00	2023-08-23T18:53:42+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® vis à aggloméré de qualité supérieure | 4,0 x 40 mm Lot de 500 | avec nervures de fraisage, vis a bois, vis bois torx, vis de terrass	2L-YNVU-VH0U	B08GJ7T3H1	Shipped	1	EUR	22.31	3.72							Prechac		33730	FR		false			false	
402-6353524-5414732	402-6353524-5414732	2023-08-23T15:10:05+00:00	2023-08-23T18:52:44+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 300 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	4B-9EAW-HI3A	B09RQ7P7WV	Shipped	1	EUR	28.49	4.75							BURNHAUPT LE HAUT	68	68520	FR		false			false	
171-7766610-3981107	171-7766610-3981107	2023-08-23T18:25:45+00:00	2023-08-23T18:26:49+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 300 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	4B-9EAW-HI3A	B09RQ7P7WV	Unshipped	1	EUR	28.49								Nancy Sur Cluses		74300	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
407-9179708-0853900	407-9179708-0853900	2023-08-23T18:14:29+00:00	2023-08-23T18:14:33+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 300 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	4B-9EAW-HI3A	B09RQ7P7WV	Unshipped	1	EUR	28.49								Wittelsheim		68310	FR		false			false	
402-3478927-6244313	402-3478927-6244313	2023-08-23T18:10:40+00:00	2023-08-23T18:11:36+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Premium Disques abrasifs excentriques 125mm | Or, 60 piï¿½ces, 8 trous | papier a poncer, disque poncage | Papier abrasif universel Velcr	2R-9ZP5-A8W2	B09QD5239J	Unshipped	1	EUR	14.11								Ans		4430	BE		false			false	
171-2353327-0712343	171-2353327-0712343	2023-08-23T17:54:11+00:00	2023-08-23T17:54:15+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 80 pièces Mix jusqu'à 5 t | Entretoises, plaques en plastique, blocs, plaquettes de compensat	RI-897L-YJHU	B08SCJC5BX	Unshipped	1	EUR	31.99								Samadet		40320	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
408-4997393-4063522	408-4997393-4063522	2023-08-23T17:33:34+00:00	2023-08-23T17:35:39+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Pied à biche de qualité supérieure | 600 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	IT-JXWS-5JZ0_FBM	B09BZJJDRZ	Unshipped	1	EUR	21.58								Maizieres		52300	FR		true		Business Price	false	
407-4652805-6013967	407-4652805-6013967	2023-08-23T07:41:36+00:00	2023-08-23T17:34:58+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises | Cales, plaques en plastique, blocs, plaquettes de compensation | Set : 1, 2, 3, 4, 5, 10 mm| 400 pièces, mélan	25-10VE-GZ0T	B07P52D4LY	Shipped	1	EUR	44.99	7.5							St Genis Laval		69230	FR		false			false	
408-9342051-0826722	408-9342051-0826722	2023-08-14T16:07:29+00:00	2023-08-23T17:33:34+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Entretoises | Cales, plaques en plastique, blocs, plaquettes de compensation | Set : 1, 2, 3, 4, 5, 10 mm| 400 pièces, mélan	25-10VE-GZ0T	B07P52D4LY	Shipped	1	EUR	44.99	7.12					1.87		Auvers sur Oise		95430	FR	FBA Subscribe & Save Discount	false			false	
