amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
408-1785913-4609939	408-1785913-4609939	2023-08-28T08:33:19+00:00	2023-08-28T14:55:31+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 50 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	A5-M669-W35F	B09GKTR4CL	Shipped	1	EUR	27.99	4.67							Parey sous montfort		88800	FR		false			false	
171-2522827-5471517	171-2522827-5471517	2023-08-28T14:41:24+00:00	2023-08-28T14:52:06+00:00	Cancelled	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 600 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	GJ-6IO8-W0G9	B07ZPBVDLY	Cancelled	0										Montigny-le-Tilleul		6110	BE		false			false	
406-9349460-5162744	406-9349460-5162744	2023-08-28T14:18:45+00:00	2023-08-28T14:18:50+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT® vis à aggloméré de qualité supérieure | 4,5 x 50 mm Lot de 500 | avec nervures de fraisage, vis a bois, vis bois torx, vis de terrass	MZ-LJYL-19Q6	B08GJ8B2CN	Unshipped	3	EUR	92.97								SURY AUX BOIS		45530	FR		false			false	
408-8115942-7205919	408-8115942-7205919	2023-08-28T14:14:18+00:00	2023-08-28T14:15:23+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Vis pour plaques de plâtre de haute qualité | 3,9 x 19 mm 500 pièces | Vis pour plaques de fibrociment, vis pour construction sèche, vis	54-T330-4YP9	B08GFWCTKK	Unshipped	1	EUR	16.99								Chenimenil		88460	FR		false			false	
406-4078364-8260356	406-4078364-8260356	2023-08-28T05:36:36+00:00	2023-08-28T14:10:54+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT vis d'ajustage de haute qualitï¿½ | 100 pcs 6 x 90 mm, T30 Bleu zinguï¿½ | vis inox, vis bois, vis a bois, Rainures de fraisage, Cut P	SV-MF6Q-7K4T	B08XFQC1K5	Unshipped	1	EUR	28.29	4.72							Saint Aquilin De Corbion		61380	FR		false			false	
171-5735659-4957934	171-5735659-4957934	2023-08-26T19:50:53+00:00	2023-08-28T13:26:57+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Premium Disques abrasifs excentriques 125mm | Or, 60 pièces, 8 trous | papier a poncer, disque poncage | Papier abrasif universel Velcro |	2R-9ZP5-A8W2	B09QD5239J	Shipped	1	EUR	13.99	2.33	2.08					2.08	Lardy		91510	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
406-0020024-1209961	406-0020024-1209961	2023-08-26T12:58:17+00:00	2023-08-28T13:26:45+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 40 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	WP-RL06-9J7C	B09GKW85JT	Shipped	1	EUR	25.99	4.33							Schirmeck	France	67130	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
403-9339585-8765134	403-9339585-8765134	2023-08-27T18:49:46+00:00	2023-08-28T13:26:38+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Vis pour plaques de plâtre de haute qualité | 3,9 x 19 mm 500 pièces | Vis pour plaques de fibrociment, vis pour construction sèche, vis	54-T330-4YP9	B08GFWCTKK	Shipped	1	EUR	16.99	2.83	4.99	0.83					Pontault-Combault		77340	FR		false			false	
403-0462704-2732364	403-0462704-2732364	2023-08-27T22:33:53+00:00	2023-08-28T13:26:37+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 600 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	GJ-6IO8-W0G9	B07ZPBVDLY	Shipped	1	EUR	36.29	6.3							Cornesse		4860	BE		false			false	
403-6114651-5013960	403-6114651-5013960	2023-08-28T07:18:57+00:00	2023-08-28T13:26:19+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 40 mm 200 piï¿½ces TX25 | Dentelle coupï¿½e | Vis ï¿½ bo	02-ZCJX-YMEJ	B08RP6J47J	Shipped	1	EUR	28.99	4.83	4.16					4.16	Lucon		85400	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
408-9392098-8283540	408-9392098-8283540	2023-08-28T08:35:09+00:00	2023-08-28T13:26:09+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Lot de 100 vis d'ajustement de qualité supérieure - 6 x 100mm, T30 - Bleu galvanisé - Acier - Rainures de fraisage - Pointe coupée, T�	7H-B0F3-YDBF	B08XFKLXZZ	Shipped	1	EUR	26.99	4.5							DOUZY		08140	FR		false			false	
171-6067958-1875530	171-6067958-1875530	2023-08-28T08:53:42+00:00	2023-08-28T13:25:54+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises | 10 mm, 150 pièces, 60 x 45 mm | Plaques de calage, entretoises, plaques en plastique, blocs, plaquettes de comp	DX-CGQC-M3V8	B09JCPYPTY	Shipped	1	EUR	32.49	5.42							MONTMERLE SUR SAONE		01090	FR		false			false	
405-5191605-8741161	405-5191605-8741161	2023-08-27T17:52:02+00:00	2023-08-28T13:25:52+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 300 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	4B-9EAW-HI3A	B09RQ7P7WV	Unshipped	1	EUR	23.51								Luxembourg		1740	LU	Free Shipping 2017/10/17 17-17-37-677	true		Business Price	false	
405-5191605-8741161	405-5191605-8741161	2023-08-27T17:52:02+00:00	2023-08-28T13:25:52+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme cales en plastique | 125 x cales mix avec aide au montage | FABRIQUÉ EN ALLEMAGNE | Cales en plastique, cales de montage, cal	6Z-R0CA-A8ZW	B07ZPC81W2	Shipped	1	EUR	23.92								Luxembourg		1740	LU	Free Shipping 2017/10/17 17-17-37-677	true		Business Price	false	
402-9250725-7342719	402-9250725-7342719	2023-08-25T21:16:28+00:00	2023-08-28T13:25:49+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT premium Entretoises pour lames de terrasse | 200 pièces - 4 mm | Entretoises Terrassfix, entretoises pour lames de terrasse, entretoises pl	A6-Q9GJ-WQ5E	B09446V6XJ	Shipped	2	EUR	49.98	8.34	4.15					4.15	Bischwihr		68320	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
406-7331671-8300361	406-7331671-8300361	2023-08-27T18:41:28+00:00	2023-08-28T13:25:42+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Lot de 120 cales de qualité supérieure en plastique ?Cales de Montage ?pour parquet, carrelage et bien plus encore ?Coins d'Installation	5P-3IB4-A2UC	B07ZPBP9G6	Shipped	1	EUR	21.99	3.67							Distroff		57925	FR		false			false	
171-1174480-3238742	171-1174480-3238742	2023-08-24T12:44:40+00:00	2023-08-28T13:25:35+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	27.99	4.67							aimargues		30470	FR		false			false	
404-3280058-9364338	404-3280058-9364338	2023-08-27T14:56:11+00:00	2023-08-28T13:25:31+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Rouleau de papier abrasif Premium | 6 pièces, 93 mm x 5 m | papier de verre, papier de verre, papier poncer bois, feuille abrasive, bloc de	K9-EVG4-MYQB	B09QJTMLDK	Shipped	1	EUR	22.99	3.83							SOURNIA		66730	FR		false			false	
