amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
408-8115942-7205919	408-8115942-7205919	2023-08-28T14:14:18+00:00	2023-08-29T01:23:28+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Vis pour plaques de plâtre de haute qualité | 3,9 x 19 mm 500 pièces | Vis pour plaques de fibrociment, vis pour construction sèche, vis	54-T330-4YP9	B08GFWCTKK	Shipped	1	EUR	16.99	2.83							Chenimenil		88460	FR		false			false	
405-6349528-9357118	405-6349528-9357118	2023-08-28T13:19:52+00:00	2023-08-29T13:30:42+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	23.09								Paris		75018	FR	Free Shipping 2017/10/17 17-17-37-677	true	280823-1	Business Price	false	
403-6616638-6649953	403-6616638-6649953	2023-08-28T13:03:35+00:00	2023-08-28T13:18:43+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Entretoises | Cales, plaques en plastique, blocs, plaquettes de compensation | Set : 1, 2, 3, 4, 5, 10 mm| 400 pièces, mélan	25-10VE-GZ0T	B07P52D4LY	Unshipped	1	EUR	44.99								CHASSENEUIL DU POITOU		86360	FR	FBA Subscribe & Save Discount	false			false	
403-8171448-1833937	403-8171448-1833937	2023-08-28T12:54:57+00:00	2023-08-28T21:18:56+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 300 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	4B-9EAW-HI3A	B09RQ7P7WV	Shipped	1	EUR	28.49	4.75							Mauvezin		65130	FR		false			false	
407-2333729-2793920	407-2333729-2793920	2023-08-28T11:39:27+00:00	2023-08-29T13:30:59+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 pièces, Mix - 60 x 45 mm | Cales, entretoises, écarteurs, plaques en plastique, plaqu	ZJ-O015-RGNY	B07P589646	Shipped	1	EUR	45.99	7.67							La Garde		83130	FR		false			false	
407-3016607-7184348	407-3016607-7184348	2023-08-28T11:17:15+00:00	2023-08-29T01:22:39+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises | Cales, plaques en plastique, blocs, plaquettes de compensation | Set : 1, 2, 3, 4, 5, 10 mm| 400 pièces, mélan	25-10VE-GZ0T	B07P52D4LY	Shipped	1	EUR	44.99	7.5							schoeneck		57350	FR		false			false	
402-6668643-1232329	402-6668643-1232329	2023-08-28T11:17:00+00:00	2023-08-28T11:19:26+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Unshipped	1	EUR	34.99								CHAMBERY		73000	FR		false			false	
405-3757835-1822765	405-3757835-1822765	2023-08-28T11:03:57+00:00	2023-08-28T21:19:42+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 5mm - 500 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique	62-QQ2Z-Z829	B08XVQSZLL	Shipped	1	EUR	39.99	6.67							chilleurs aux bois		45170	FR		false			false	
403-2724395-1739514	403-2724395-1739514	2023-08-28T11:02:29+00:00	2023-08-29T04:16:42+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 1mm - 500 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique	PM-LHJ4-WEIF	B08XW6QH4W	Shipped	1	EUR	32.49	5.42							Aubergenville		78410	FR		false			false	
407-2619619-8348351	407-2619619-8348351	2023-08-28T10:58:42+00:00	2023-08-29T01:22:50+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Vis pour plaques de plâtre de haute qualité | 3,9 x 19 mm 500 pièces | Vis pour plaques de fibrociment, vis pour construction sèche, vis	54-T330-4YP9	B08GFWCTKK	Shipped	1	EUR	16.99	2.83							comines		59560	FR		false			false	
