amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
406-0020024-1209961	406-0020024-1209961	2023-08-26T12:58:17+00:00	2023-08-28T13:26:45+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 40 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	WP-RL06-9J7C	B09GKW85JT	Shipped	1	EUR	25.99	4.33							Schirmeck	France	67130	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
403-9339585-8765134	403-9339585-8765134	2023-08-27T18:49:46+00:00	2023-08-28T13:26:38+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Vis pour plaques de plâtre de haute qualité | 3,9 x 19 mm 500 pièces | Vis pour plaques de fibrociment, vis pour construction sèche, vis	54-T330-4YP9	B08GFWCTKK	Shipped	1	EUR	16.99	2.83	4.99	0.83					Pontault-Combault		77340	FR		false			false	
403-0462704-2732364	403-0462704-2732364	2023-08-27T22:33:53+00:00	2023-08-28T13:26:37+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 600 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	GJ-6IO8-W0G9	B07ZPBVDLY	Shipped	1	EUR	36.29	6.3							Cornesse		4860	BE		false			false	
403-6114651-5013960	403-6114651-5013960	2023-08-28T07:18:57+00:00	2023-08-28T13:26:19+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 40 mm 200 piï¿½ces TX25 | Dentelle coupï¿½e | Vis ï¿½ bo	02-ZCJX-YMEJ	B08RP6J47J	Shipped	1	EUR	28.99	4.83	4.16					4.16	Lucon		85400	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
402-9250725-7342719	402-9250725-7342719	2023-08-25T21:16:28+00:00	2023-08-28T13:25:49+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT premium Entretoises pour lames de terrasse | 200 pièces - 4 mm | Entretoises Terrassfix, entretoises pour lames de terrasse, entretoises pl	A6-Q9GJ-WQ5E	B09446V6XJ	Shipped	2	EUR	49.98	8.34	4.15					4.15	Bischwihr		68320	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
406-7331671-8300361	406-7331671-8300361	2023-08-27T18:41:28+00:00	2023-08-28T13:25:42+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Lot de 120 cales de qualité supérieure en plastique ?Cales de Montage ?pour parquet, carrelage et bien plus encore ?Coins d'Installation	5P-3IB4-A2UC	B07ZPBP9G6	Shipped	1	EUR	21.99	3.67							Distroff		57925	FR		false			false	
171-1174480-3238742	171-1174480-3238742	2023-08-24T12:44:40+00:00	2023-08-28T13:25:35+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	27.99	4.67							aimargues		30470	FR		false			false	
404-3280058-9364338	404-3280058-9364338	2023-08-27T14:56:11+00:00	2023-08-28T13:25:31+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Rouleau de papier abrasif Premium | 6 pièces, 93 mm x 5 m | papier de verre, papier de verre, papier poncer bois, feuille abrasive, bloc de	K9-EVG4-MYQB	B09QJTMLDK	Shipped	1	EUR	22.99	3.83							SOURNIA		66730	FR		false			false	
406-4779686-1230758	406-4779686-1230758	2023-08-26T22:40:52+00:00	2023-08-28T13:25:11+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT® Disque de coupe diamanté de haute qualité | 230/22,23/2,4/10 mm | segments de diamant turbo pressés à chaud, longue durée de vie, aci	YH-XKM8-ZR3B	B09BNG1QG5	Shipped	1	EUR	19.99	3.33							AJACCIO		20090	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
171-1694273-7452339	171-1694273-7452339	2023-08-27T08:37:52+00:00	2023-08-28T13:25:04+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXTï¿½ Premium Cales pour vitrage | 24 x 100 mm, 300 piï¿½ces | Fabriquï¿½ en Allemagne | Cales, entretoises, cales d'espacement en pla	4B-9EAW-HI3A	B09RQ7P7WV	Shipped	1	EUR	28.49	4.75							Durdat larequille	Auvergne	03310	FR		false			false	
