amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
403-5002514-7841928	403-5002514-7841928	2023-08-29T06:06:32+00:00	2023-08-29T13:49:30+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 40 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	02-ZCJX-YMEJ	B08RP6J47J	Shipped	1	EUR	28.99	4.83							LOSNE		21170	FR		false			false	
403-0622523-8952303	403-0622523-8952303	2023-08-29T05:06:52+00:00	2023-08-29T13:32:29+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Lot de 100 vis d'ajustement de qualité supérieure - 6 x 110mm, T30 - Bleu galvanisé - Acier - Rainures de fraisage - Pointe coupée, Fi	ZV-1UFP-5DI2	B08XFFRYHC	Shipped	2	EUR	59.98	10.0							LE SOLER		66270	FR		false			false	
171-4768965-4604301	171-4768965-4604301	2023-08-28T18:49:09+00:00	2023-08-29T13:31:37+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 40 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	02-ZCJX-YMEJ	B08RP6J47J	Shipped	1	EUR	28.99	4.83							Janze	France	35150	FR		false			false	
405-3051819-7288357	405-3051819-7288357	2023-08-28T22:04:15+00:00	2023-08-29T13:31:20+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme cales en plastique | 125 x cales mix avec aide au montage | FABRIQUÉ EN ALLEMAGNE | Cales en plastique, cales de montage, cal	6Z-R0CA-A8ZW	B07ZPC81W2	Shipped	1	EUR	28.99	4.83							landivisiau		29400	FR		false			false	
408-1653409-9484342	408-1653409-9484342	2023-08-28T21:19:19+00:00	2023-08-29T13:31:17+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXTï¿½ Lot de 40 plaques de rondelle enfichables de qualitï¿½ supï¿½rieure - 40 x 80-200 piï¿½ces - Mï¿½lange jusqu'ï¿½ 16t -	MH-CJRY-5P2K	B0BZ148L38	Shipped	1	EUR	34.52	5.75	0.47					0.47	Doue En Anjou		49700	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
171-5604059-0537114	171-5604059-0537114	2023-08-28T06:52:20+00:00	2023-08-29T13:31:13+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Shipped	1	EUR	34.99	5.83	1.38					1.38	LES HOUCHES		74310	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
407-2333729-2793920	407-2333729-2793920	2023-08-28T11:39:27+00:00	2023-08-29T13:30:59+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 pièces, Mix - 60 x 45 mm | Cales, entretoises, écarteurs, plaques en plastique, plaqu	ZJ-O015-RGNY	B07P589646	Shipped	1	EUR	45.99	7.67							La Garde		83130	FR		false			false	
171-8237358-2140344	171-8237358-2140344	2023-08-28T08:27:10+00:00	2023-08-29T13:30:49+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 60 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	UA-0KEE-NJEO	B09GKVXT43	Shipped	2	EUR	60.78	10.14							ST LOUIS		68300	FR		false			false	
405-6349528-9357118	405-6349528-9357118	2023-08-28T13:19:52+00:00	2023-08-29T13:30:42+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	23.09								Paris		75018	FR	Free Shipping 2017/10/17 17-17-37-677	true	280823-1	Business Price	false	
407-1772455-5125142	407-1772455-5125142	2023-08-27T16:07:22+00:00	2023-08-29T13:30:34+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	27.99	4.67							Annonay		07100	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
404-5300373-3481912	404-5300373-3481912	2023-08-26T13:18:22+00:00	2023-08-29T13:30:30+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Equerre métallique | 25 pièces 50 x 50 x 40 x 2 mm | Equerre, support d'équerre, équerre en L en métal, équerre en acier	II-HPXR-APRD	B09BVQ8NF3	Shipped	1	EUR	18.99	3.17							Puy-Guillaume		63290	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
405-1903383-4113945	405-1903383-4113945	2023-08-28T22:06:51+00:00	2023-08-29T13:30:19+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 160 pièces Mix jusqu'à 16 t | Entretoises, plaques en plastique, blocs, plaquettes de compens	JV-YDRH-BYKA	B07NZJJHDG	Shipped	1	EUR	43.49	7.25							BENASSAY		86470	FR		false			false	
171-3276685-7512356	171-3276685-7512356	2023-08-28T10:53:47+00:00	2023-08-29T13:25:20+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT premium Entretoises pour lames de terrasse | 200 pièces - 7 mm | Entretoises Terrassfix, entretoises pour lames de terrasse, entretoises pl	JV-VJY6-PMSJ	B09445QYYT	Shipped	1	EUR	24.49	4.08							Colmar	France	68000	FR		false			false	
407-5980218-7321911	407-5980218-7321911	2023-08-25T04:02:37+00:00	2023-08-29T13:20:10+00:00	Cancelled	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 piï¿½ces, Mix - 60 x 45 mm | Cales, entretoises, ï¿½carteurs, plaques en plastiqu	ZJ-O015-RGNY	B07P589646	Cancelled	0										LE SEQUESTRE		81990	FR		false			false	
405-7056927-6270738	405-7056927-6270738	2023-08-29T13:07:18+00:00	2023-08-29T13:07:23+00:00	Pending	Amazon	Amazon.fr		Expedited	Mouji bouillotte | extra peluche 2 litre, gris foncé | bouillotte thermique adulte et enfant, bouillote, bouillotte eau chaude, bouillottes, bouillot	8O-5W99-U0FD	B09TRFKWYB	Unshipped	1	EUR	14.99								chamousset		73390	FR		false			false	
405-9817098-4714731	405-9817098-4714731	2022-07-05T09:58:12+00:00	2023-08-29T12:57:38+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Vis pour terrasse en acier inoxydable Haut de gamme avec embout | Nervures de fraisage, pointe Cut | Vis à bois | Revêtement glissant, aci	A5-M669-W35F	B09GKTR4CL	Shipped	1	EUR	25.33	4.22												false			false	
406-9006609-9187505	406-9006609-9187505	2023-08-29T12:16:12+00:00	2023-08-29T12:17:16+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Unshipped	1	EUR	34.99								Lambersart		59130	FR		false			false	
